2024-10-02 17:11:16 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-02 17:11:17 - Value retrieved: bar, Response time: 0.0692 seconds
2024-10-02 17:11:19 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-02 17:11:21 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-02 17:11:23 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-02 17:11:24 - Value retrieved: bar, Response time: 0.0710 seconds
2024-10-02 17:11:26 - Value retrieved: bar, Response time: 0.0716 seconds
2024-10-02 17:11:28 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-02 17:11:30 - Value retrieved: bar, Response time: 0.0818 seconds
2024-10-02 17:11:32 - Value retrieved: bar, Response time: 0.0698 seconds
2024-10-02 17:11:33 - Value retrieved: bar, Response time: 0.0921 seconds
2024-10-02 17:11:35 - Value retrieved: bar, Response time: 0.0693 seconds
2024-10-02 17:11:37 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-02 17:11:39 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-02 17:11:40 - Value retrieved: bar, Response time: 0.0712 seconds
2024-10-02 17:11:42 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-02 17:11:44 - Value retrieved: bar, Response time: 0.0692 seconds
2024-10-02 17:11:46 - Value retrieved: bar, Response time: 0.0736 seconds
2024-10-02 17:11:48 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-02 17:11:49 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-02 17:11:51 - Value retrieved: bar, Response time: 0.0710 seconds
2024-10-02 17:11:53 - Value retrieved: bar, Response time: 0.0698 seconds
2024-10-02 17:11:55 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-02 17:11:56 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-02 17:11:58 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-02 17:12:00 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-02 17:12:02 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-02 17:12:04 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-02 17:12:05 - Value retrieved: bar, Response time: 0.0696 seconds
2024-10-02 17:12:07 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-02 17:12:09 - Value retrieved: bar, Response time: 0.0694 seconds
2024-10-02 17:12:11 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-02 17:12:12 - Value retrieved: bar, Response time: 0.0712 seconds
2024-10-02 17:12:14 - Value retrieved: bar, Response time: 0.0712 seconds
2024-10-02 17:12:16 - Value retrieved: bar, Response time: 0.0697 seconds
2024-10-02 17:12:18 - Value retrieved: bar, Response time: 0.0711 seconds
2024-10-02 17:12:20 - Value retrieved: bar, Response time: 0.1131 seconds
2024-10-02 17:12:22 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-02 17:12:24 - Value retrieved: bar, Response time: 0.1836 seconds
2024-10-02 17:12:27 - Value retrieved: bar, Response time: 0.0783 seconds
2024-10-02 17:12:29 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-02 17:12:31 - Value retrieved: bar, Response time: 0.0773 seconds
2024-10-02 17:12:33 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-02 17:12:35 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-02 17:12:37 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-02 17:12:39 - Value retrieved: bar, Response time: 0.0809 seconds
2024-10-02 17:12:41 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-02 17:12:43 - Value retrieved: bar, Response time: 0.0694 seconds
2024-10-02 17:12:46 - Value retrieved: bar, Response time: 0.0693 seconds
2024-10-02 17:12:48 - Value retrieved: bar, Response time: 0.1387 seconds
2024-10-02 17:12:50 - Value retrieved: bar, Response time: 0.0947 seconds
2024-10-02 17:12:52 - Value retrieved: bar, Response time: 0.0711 seconds
2024-10-02 17:12:54 - Value retrieved: bar, Response time: 0.1634 seconds
2024-10-02 17:12:56 - Value retrieved: bar, Response time: 0.0716 seconds
2024-10-02 17:12:58 - Value retrieved: bar, Response time: 0.0698 seconds
2024-10-02 17:13:00 - Value retrieved: bar, Response time: 0.0790 seconds
2024-10-02 17:13:02 - Value retrieved: bar, Response time: 0.0698 seconds
2024-10-02 17:13:04 - Value retrieved: bar, Response time: 0.0712 seconds
2024-10-02 17:13:06 - Value retrieved: bar, Response time: 0.0712 seconds
2024-10-02 17:13:08 - Value retrieved: bar, Response time: 0.0711 seconds
2024-10-02 17:13:09 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-02 17:13:11 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-02 17:13:13 - Value retrieved: bar, Response time: 0.0710 seconds
2024-10-02 17:13:15 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-02 17:13:16 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-02 17:13:18 - Value retrieved: bar, Response time: 0.0696 seconds
2024-10-02 17:13:20 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-02 17:13:22 - Value retrieved: bar, Response time: 0.0712 seconds
2024-10-02 17:13:23 - Value retrieved: bar, Response time: 0.0727 seconds
2024-10-02 17:13:25 - Value retrieved: bar, Response time: 0.0714 seconds
2024-10-02 17:13:27 - Value retrieved: bar, Response time: 0.0710 seconds
2024-10-02 17:13:29 - Value retrieved: bar, Response time: 0.0735 seconds
2024-10-02 17:13:31 - Value retrieved: bar, Response time: 0.0711 seconds
2024-10-02 17:13:32 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-02 17:13:34 - Value retrieved: bar, Response time: 0.0696 seconds
2024-10-02 17:13:36 - Value retrieved: bar, Response time: 0.0717 seconds
2024-10-02 17:13:38 - Value retrieved: bar, Response time: 0.0722 seconds
2024-10-02 17:13:40 - Value retrieved: bar, Response time: 0.0766 seconds
2024-10-02 17:13:42 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-02 17:13:44 - Value retrieved: bar, Response time: 0.0710 seconds
2024-10-02 17:13:46 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-02 17:13:48 - Value retrieved: bar, Response time: 0.0724 seconds
2024-10-02 17:13:50 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-02 17:13:54 - Value retrieved: bar, Response time: 0.0741 seconds
2024-10-02 17:13:56 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-02 17:13:57 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-02 17:14:00 - Value retrieved: bar, Response time: 0.0700 seconds
2024-10-02 17:14:01 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-02 17:14:04 - Value retrieved: bar, Response time: 0.0697 seconds
