2024-10-02 17:35:07 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-02 17:35:09 - Value retrieved: bar, Response time: 0.0712 seconds
2024-10-02 17:35:10 - Value retrieved: bar, Response time: 0.0697 seconds
2024-10-02 17:35:12 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-02 17:35:14 - Value retrieved: bar, Response time: 0.0721 seconds
2024-10-02 17:35:16 - Value retrieved: bar, Response time: 0.0696 seconds
2024-10-02 17:35:18 - Value retrieved: bar, Response time: 0.0697 seconds
2024-10-02 17:35:19 - Value retrieved: bar, Response time: 0.0695 seconds
2024-10-02 17:35:21 - Value retrieved: bar, Response time: 0.0694 seconds
2024-10-02 17:35:23 - Value retrieved: bar, Response time: 0.0711 seconds
2024-10-02 17:35:25 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-02 17:35:26 - Value retrieved: bar, Response time: 0.0711 seconds
2024-10-02 17:35:28 - Value retrieved: bar, Response time: 0.0699 seconds
2024-10-02 17:35:30 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-02 17:35:32 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-02 17:35:34 - Value retrieved: bar, Response time: 0.0710 seconds
2024-10-02 17:35:36 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-02 17:35:38 - Value retrieved: bar, Response time: 0.0711 seconds
2024-10-02 17:35:40 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-02 17:35:42 - Value retrieved: bar, Response time: 0.0710 seconds
2024-10-02 17:35:44 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-02 17:35:46 - Value retrieved: bar, Response time: 0.0713 seconds
2024-10-02 17:35:48 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-02 17:35:50 - Value retrieved: bar, Response time: 0.0698 seconds
2024-10-02 17:35:52 - Value retrieved: bar, Response time: 0.0726 seconds
2024-10-02 17:35:54 - Value retrieved: bar, Response time: 0.0698 seconds
2024-10-02 17:35:56 - Value retrieved: bar, Response time: 0.0737 seconds
2024-10-02 17:35:58 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-02 17:36:00 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-02 17:36:02 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-02 17:36:04 - Value retrieved: bar, Response time: 0.0754 seconds
2024-10-02 17:36:06 - Value retrieved: bar, Response time: 0.0716 seconds
2024-10-02 17:36:08 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-02 17:36:09 - Value retrieved: bar, Response time: 0.0694 seconds
2024-10-02 17:36:11 - Value retrieved: bar, Response time: 0.0710 seconds
2024-10-02 17:36:13 - Value retrieved: bar, Response time: 0.0712 seconds
