2024-10-03 12:04:50 - Value retrieved: bar, Response time: 0.0815 seconds
2024-10-03 12:04:53 - Value retrieved: bar, Response time: 0.0699 seconds
2024-10-03 12:04:54 - Value retrieved: bar, Response time: 0.0691 seconds
2024-10-03 12:04:56 - Value retrieved: bar, Response time: 0.0689 seconds
2024-10-03 12:04:58 - Value retrieved: bar, Response time: 0.0692 seconds
2024-10-03 12:05:00 - Value retrieved: bar, Response time: 0.0689 seconds
2024-10-03 12:05:02 - Value retrieved: bar, Response time: 0.0693 seconds
2024-10-03 12:05:04 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:05:06 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:05:08 - Value retrieved: bar, Response time: 0.0710 seconds
2024-10-03 12:05:10 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:05:12 - Value retrieved: bar, Response time: 0.0694 seconds
2024-10-03 12:05:14 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:05:16 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:05:18 - Value retrieved: bar, Response time: 0.0714 seconds
2024-10-03 12:05:20 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:05:22 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:05:24 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:05:26 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:05:28 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:05:30 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:05:32 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:05:34 - Value retrieved: bar, Response time: 0.0691 seconds
2024-10-03 12:05:36 - Value retrieved: bar, Response time: 0.0697 seconds
2024-10-03 12:05:38 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:05:40 - Value retrieved: bar, Response time: 0.0739 seconds
2024-10-03 12:05:42 - Value retrieved: bar, Response time: 0.0696 seconds
2024-10-03 12:05:44 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-03 12:05:46 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:05:48 - Value retrieved: bar, Response time: 0.0699 seconds
2024-10-03 12:05:50 - Value retrieved: bar, Response time: 0.0691 seconds
2024-10-03 12:05:52 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:05:54 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:05:56 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:05:57 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:05:59 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:06:01 - Value retrieved: bar, Response time: 0.0711 seconds
2024-10-03 12:06:03 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:06:05 - Value retrieved: bar, Response time: 0.0699 seconds
2024-10-03 12:06:07 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:06:09 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:06:11 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:06:13 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:06:15 - Value retrieved: bar, Response time: 0.0696 seconds
2024-10-03 12:06:17 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:06:19 - Value retrieved: bar, Response time: 0.0726 seconds
2024-10-03 12:06:21 - Value retrieved: bar, Response time: 0.0688 seconds
2024-10-03 12:06:23 - Value retrieved: bar, Response time: 0.0741 seconds
2024-10-03 12:06:25 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:06:27 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:06:29 - Value retrieved: bar, Response time: 0.0697 seconds
2024-10-03 12:06:31 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-03 12:06:33 - Value retrieved: bar, Response time: 0.0802 seconds
2024-10-03 12:06:35 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:06:37 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:06:39 - Value retrieved: bar, Response time: 0.0693 seconds
2024-10-03 12:06:41 - Value retrieved: bar, Response time: 0.0692 seconds
2024-10-03 12:06:43 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-03 12:06:45 - Value retrieved: bar, Response time: 0.1277 seconds
2024-10-03 12:06:47 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:06:49 - Value retrieved: bar, Response time: 0.0726 seconds
2024-10-03 12:06:51 - Value retrieved: bar, Response time: 0.0704 seconds
