2024-10-03 10:52:52 - Value retrieved: bar, Response time: 0.0970 seconds
2024-10-03 10:52:55 - Value retrieved: bar, Response time: 0.0699 seconds
2024-10-03 10:52:57 - Value retrieved: bar, Response time: 0.0691 seconds
2024-10-03 10:52:59 - Value retrieved: bar, Response time: 0.0773 seconds
2024-10-03 10:53:00 - Value retrieved: bar, Response time: 0.0717 seconds
2024-10-03 10:53:02 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 10:53:05 - Value retrieved: bar, Response time: 0.0699 seconds
2024-10-03 10:53:06 - Value retrieved: bar, Response time: 0.0724 seconds
2024-10-03 10:53:08 - Value retrieved: bar, Response time: 0.0692 seconds
2024-10-03 10:53:10 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 10:53:12 - Value retrieved: bar, Response time: 0.0743 seconds
2024-10-03 10:53:15 - Value retrieved: bar, Response time: 0.0691 seconds
2024-10-03 10:53:17 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 10:53:19 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 10:53:21 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 10:53:22 - Value retrieved: bar, Response time: 0.0715 seconds
2024-10-03 10:53:24 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-03 10:53:26 - Value retrieved: bar, Response time: 0.0693 seconds
2024-10-03 10:53:28 - Value retrieved: bar, Response time: 0.0691 seconds
2024-10-03 10:53:30 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 10:53:32 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 10:53:34 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 10:53:36 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 10:53:38 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 10:53:40 - Value retrieved: bar, Response time: 0.0753 seconds
2024-10-03 10:53:42 - Value retrieved: bar, Response time: 0.0692 seconds
2024-10-03 10:53:44 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 10:53:46 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 10:53:48 - Value retrieved: bar, Response time: 0.0710 seconds
2024-10-03 10:53:50 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-03 10:53:52 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 10:53:54 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 10:53:56 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 10:53:58 - Value retrieved: bar, Response time: 0.0692 seconds
